[9/7/23, 8:51:45 AM] Yara: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
‎[9/7/23, 8:51:45 AM] Yara: ‎image omitted
[9/6/24, 7:52:00 AM] Yara: Fukin teclado
[9/6/24, 7:52:01 AM] Ismael: Jabalina
[9/6/24, 7:52:30 AM] Yara: Dejame en paz
‎[9/6/24, 7:52:41 AM] Yara: ‎image omitted
[9/6/24, 7:52:43 AM] Yara: Tú
‎[9/6/24, 7:53:21 AM] Ismael: ‎video omitted
[9/6/24, 7:53:48 AM] Ismael: Te invito a que mejor supongas y no preguntes
‎[9/6/24, 7:53:59 AM] Ismael: ‎image omitted
‎[9/6/24, 7:54:13 AM] Ismael: ‎image omitted
‎[9/6/24, 7:54:37 AM] Ismael: ‎image omitted
[9/6/24, 7:56:02 AM] Yara: O dios mio
[9/6/24, 7:56:04 AM] Yara: Tu
[9/6/24, 7:56:11 AM] Yara: JAJAJAJJA
[9/6/24, 7:56:29 AM] Yara: Que te pasa
[9/6/24, 7:57:09 AM] Yara: Lindo lindo
‎[9/6/24, 7:57:31 AM] Ismael: ‎sticker omitted
[9/6/24, 7:57:36 AM] Ismael: Ponga atención a la clase
‎[9/6/24, 7:57:51 AM] Yara: ‎image omitted
[9/6/24, 7:57:57 AM] Yara: Tenemos libres
[9/6/24, 7:58:18 AM] Ismael: Pues muy bien
[9/6/24, 7:58:32 AM] Ismael: Ni para que vas
[9/6/24, 8:30:40 AM] Ismael: Una señora de la uas me dijo que tengo bonita voz
‎[9/6/24, 8:30:46 AM] Ismael: ‎sticker omitted
[9/6/24, 8:32:07 AM] Yara: Cuando
[9/6/24, 8:32:30 AM] Ismael: Ahorita
[9/6/24, 8:32:36 AM] Ismael: Ando en la rectoría
[9/6/24, 8:42:43 AM] Yara: Por
[9/6/24, 8:43:17 AM] Ismael: Certificado parcial
[9/6/24, 8:45:21 AM] Yara: Pa que
[9/6/24, 8:45:22 AM] Yara: Voy?
[9/6/24, 8:45:45 AM] Ismael: Ven
[9/6/24, 8:45:51 AM] Ismael: Te queda bien cerca
[9/6/24, 8:49:59 AM] Yara: E
[9/6/24, 8:50:24 AM] Ismael: E
[9/6/24, 8:54:26 AM] Yara: Jijijiji
‎[9/6/24, 8:54:33 AM] Yara: ‎image omitted
[9/6/24, 8:54:51 AM] Ismael: Que te pasa
[9/6/24, 8:55:38 AM] Yara: Queeeeeee
‎[9/6/24, 8:56:10 AM] Yara: ‎image omitted
[9/6/24, 8:56:13 AM] Yara: Esperando a Paul
[9/6/24, 8:56:32 AM] Ismael: Pues muy bien
‎[9/6/24, 8:56:36 AM] Ismael: ‎sticker omitted
[9/6/24, 8:56:52 AM] Yara: A ver donde estas
[9/6/24, 8:57:04 AM] Ismael: Rectoría de la uas
[9/6/24, 8:57:44 AM] Ismael: Vas a venir?
[9/6/24, 8:57:59 AM] Yara: Pero dondeeeee
[9/6/24, 8:58:08 AM] Yara: Yo no se que es eso
[9/6/24, 8:58:21 AM] Ismael: ‎Location: https://maps.google.com/?q=24.797190,-107.448074
[9/6/24, 8:58:24 AM] Ismael: Vente
[9/6/24, 8:58:42 AM] Yara: Voooy
‎[9/6/24, 8:58:50 AM] Yara: ‎sticker omitted
[9/6/24, 8:58:59 AM] Ismael: O dios mío
[9/6/24, 8:59:03 AM] Yara: JAJAJAJAJA
[9/6/24, 8:59:08 AM] Ismael: Que es esoooo
‎[9/6/24, 9:00:35 AM] Yara: ‎image omitted
[9/6/24, 9:00:44 AM] Yara: Tu chiquito dice
[9/6/24, 9:00:59 AM] Ismael: E?
‎[9/6/24, 9:01:02 AM] Ismael: ‎sticker omitted
[9/6/24, 9:01:45 AM] Ismael: Envíamela normal
‎[9/6/24, 9:03:34 AM] Yara: ‎image omitted
‎[9/6/24, 9:03:37 AM] Yara: ‎sticker omitted
[9/6/24, 9:03:43 AM] Yara: JAJAJAJA
[9/6/24, 9:05:28 AM] Ismael: Por qué la recortas
[9/6/24, 9:05:31 AM] Ismael: Loquilla
[9/6/24, 9:05:42 AM] Yara: O que la
[9/6/24, 9:05:48 AM] Yara: Pues enfocando al Ernesto
‎[9/6/24, 9:05:56 AM] Yara: ‎image omitted
[9/6/24, 9:06:10 AM] Ismael: Yo no la quiero dos veces
[9/6/24, 9:06:17 AM] Yara: ?
[9/6/24, 9:06:22 AM] Yara: Ya cállate pues
‎[9/6/24, 9:06:25 AM] Yara: ‎sticker omitted
[9/6/24, 9:06:28 AM] Ismael: Ashushushushu
‎[9/6/24, 9:06:41 AM] Yara: ‎image omitted
[9/6/24, 9:07:02 AM] Ismael: Por qué se tapa Ernesto
‎[9/6/24, 9:07:50 AM] Yara: ‎image omitted
[9/6/24, 9:08:05 AM] Yara: Pregúntame
[9/6/24, 9:08:07 AM] Yara: Le
‎[9/6/24, 9:08:10 AM] Yara: ‎sticker omitted
[9/6/24, 9:08:13 AM] Ismael: Por qué la recortas
‎[9/6/24, 9:08:22 AM] Ismael: ‎sticker omitted
[9/6/24, 9:08:40 AM] Ismael: No quiero
[9/6/24, 9:08:40 AM] Yara: O que la
‎[9/6/24, 9:08:47 AM] Yara: ‎image omitted
‎[9/6/24, 9:08:50 AM] Yara: ‎sticker omitted
[9/6/24, 9:09:04 AM] Ismael: Que rojo
[9/6/24, 9:09:04 AM] Yara: El Ernesto mira
‎[9/6/24, 9:09:14 AM] Yara: ‎image omitted
[9/6/24, 9:09:17 AM] Ismael: Miro
[9/6/24, 9:09:18 AM] Yara: Sip
‎[9/6/24, 9:09:26 AM] Yara: ‎sticker omitted
[9/6/24, 9:09:31 AM] Ismael: Se ve feliz
‎[9/6/24, 9:09:36 AM] Ismael: ‎sticker omitted
[9/6/24, 9:09:39 AM] Ismael: Así
[9/6/24, 9:09:41 AM] Yara: El Ernesto?
[9/6/24, 9:09:44 AM] Ismael: Si
[9/6/24, 9:09:45 AM] Yara: Chi
‎[9/6/24, 9:10:05 AM] Yara: ‎image omitted
[9/6/24, 9:10:22 AM] Ismael: otra vez recortada
[9/6/24, 9:10:28 AM] Yara: Y que
‎[9/6/24, 9:10:39 AM] Ismael: ‎image omitted
[9/6/24, 9:10:44 AM] Ismael: Que te pasa
[9/6/24, 9:11:11 AM] Yara: Qué vergüenza
[9/6/24, 9:11:23 AM] Ismael: Ok
[9/6/24, 9:11:31 AM] Yara: Jajajaja
[9/6/24, 9:11:38 AM] Ismael: Cállate
[9/6/24, 9:11:42 AM] Yara: Que tiene que le recorte
[9/6/24, 9:11:43 AM] Ismael: Black
[9/6/24, 9:11:44 AM] Yara: Ashhh
[9/6/24, 9:11:51 AM] Yara: Ojalá tú
[9/6/24, 9:11:55 AM] Ismael: Para que
[9/6/24, 9:12:09 AM] Yara: Pues me gusta
[9/6/24, 9:12:11 AM] Ismael: No
‎[9/6/24, 9:12:24 AM] Yara: ‎sticker omitted
[9/6/24, 9:12:25 AM] Ismael: Ojalá tu
[9/6/24, 9:12:26 AM] Ismael: Que es eso
[9/6/24, 9:12:38 AM] Yara: Para ser twins
‎[9/6/24, 9:12:42 AM] Yara: ‎sticker omitted
[9/6/24, 9:12:54 AM] Ismael: Ascole
[9/6/24, 9:12:59 AM] Ismael: Mejor tú se güera como yo
‎[9/6/24, 9:13:12 AM] Ismael: ‎sticker omitted
[9/6/24, 9:13:16 AM] Yara: Güero de donde JAJAJA
‎[9/6/24, 9:13:18 AM] Yara: ‎sticker omitted
[9/6/24, 9:13:40 AM] Yara: Güero el ángel, el Abraham, el koutro
[9/6/24, 9:13:43 AM] Yara: Ay tontito
[9/6/24, 9:14:14 AM] Yara: Tú eres más bien color más para allá que para acá ‎<This message was edited>
‎[9/6/24, 9:14:28 AM] Ismael: ‎sticker omitted
[9/6/24, 9:14:35 AM] Ismael: Donde es allá y donde es acá
[9/6/24, 9:14:42 AM] Ismael: Ps yo yarilin
[9/6/24, 9:14:55 AM] Yara: Negro y blanco
[9/6/24, 9:15:03 AM] Yara: Estás loco
[9/6/24, 9:15:08 AM] Ismael: Estás loca
[9/6/24, 9:15:08 AM] Yara: Jajajaja
‎[9/6/24, 9:15:17 AM] Yara: ‎sticker omitted
[9/6/24, 9:15:26 AM] Ismael: Yo estoy más cerca de ser blanco que negro
[9/6/24, 9:15:27 AM] Ismael: Mafaker
[9/6/24, 9:15:31 AM] Ismael: No esto tan quemado
[9/6/24, 9:15:41 AM] Ismael: y
[9/6/24, 9:16:03 AM] Yara: Pero no eres güero
[9/6/24, 9:16:06 AM] Ismael: Me va a tocar convivir con muchos de tu especie en Estados Unidos
[9/6/24, 9:16:07 AM] Yara: .
[9/6/24, 9:16:20 AM] Yara: A ver si se te pega algo
[9/6/24, 9:16:26 AM] Ismael: Estaba jugando cabeza de llanta
‎[9/6/24, 9:16:38 AM] Ismael: ‎sticker omitted
[9/6/24, 9:16:43 AM] Ismael: Ojalá no
[9/6/24, 9:16:53 AM] Yara: Güero JAJAJA
‎[9/6/24, 9:16:55 AM] Yara: ‎sticker omitted
[9/6/24, 9:17:07 AM] Ismael: Sip
[9/6/24, 9:17:09 AM] Ismael: Así dime
[9/6/24, 9:17:22 AM] Ismael: El güeron
[9/6/24, 9:17:22 AM] Yara: Ño
[9/6/24, 9:17:26 AM] Yara: No se puede
[9/6/24, 9:17:32 AM] Yara: Eww
[9/6/24, 9:17:33 AM] Yara: JAJAJJA
‎[9/6/24, 9:17:40 AM] Ismael: ‎sticker omitted
[9/6/24, 9:17:45 AM] Ismael: Nunca me dejas ser yo
[9/6/24, 9:18:06 AM] Yara: A mi me vale como seas pero no esperes una respuesta de aprobacion daaahhh
[9/6/24, 9:18:07 AM] Yara: JAJAJJA
‎[9/6/24, 9:18:11 AM] Yara: ‎sticker omitted
[9/6/24, 9:18:18 AM] Yara: Se asi naquillo
[9/6/24, 9:18:22 AM] Yara: Asi todo chiquito
[9/6/24, 9:18:49 AM] Ismael: Ashushushushu
‎[9/6/24, 9:18:54 AM] Ismael: ‎sticker omitted
[9/6/24, 9:19:17 AM] Ismael: Yo soy tela
[9/6/24, 9:19:18 AM] Ismael: Real
[9/6/24, 9:19:26 AM] Yara: Te cocen
[9/6/24, 9:19:39 AM] Ismael: Cállate jabalina
[9/6/24, 9:19:47 AM] Ismael: E?
[9/6/24, 9:19:48 AM] Yara: JAJAJAJAJJ
[9/6/24, 9:19:53 AM] Yara: .
[9/6/24, 9:19:56 AM] Yara: Tela
[9/6/24, 9:19:59 AM] Yara: Cocer
[9/6/24, 9:20:02 AM] Yara: Dahhh
[9/6/24, 9:20:11 AM] Ismael: Shhhh
[9/6/24, 9:20:19 AM] Ismael: Dahhh
[9/6/24, 9:20:20 AM] Ismael: Que es eso
‎[9/6/24, 9:20:20 AM] Yara: ‎sticker omitted
[9/6/24, 9:20:29 AM] Ismael: Tu
[9/6/24, 9:20:33 AM] Yara: No lo entenderías
[9/6/24, 9:20:52 AM] Yara: No es cosa de naquillos
[9/6/24, 9:20:58 AM] Yara: Y tu
[9/6/24, 9:21:04 AM] Ismael: Es de cholos
‎[9/6/24, 9:21:16 AM] Ismael: ‎sticker omitted
[9/6/24, 9:21:21 AM] Ismael: Tú y yo
‎[9/6/24, 9:21:37 AM] Yara: ‎sticker omitted
[9/6/24, 9:21:45 AM] Yara: Peor
[9/6/24, 9:22:41 AM] Ismael: Ps tu
[9/6/24, 9:22:42 AM] Ismael: Ya me voy
[9/6/24, 9:22:43 AM] Ismael: Bai
[9/6/24, 9:22:55 AM] Yara: Naquillo
‎[9/6/24, 9:22:58 AM] Yara: ‎sticker omitted
[9/6/24, 9:23:25 AM] Ismael: Dime bai grosera
[9/6/24, 9:23:36 AM] Yara: Bai naquillo
[9/6/24, 9:24:55 AM] Ismael: Bai chola negrita
‎[9/6/24, 9:25:00 AM] Ismael: ‎sticker omitted
[9/6/24, 9:25:08 AM] Yara: Chola de donde
[9/6/24, 9:28:12 AM] Ismael: Cállese no pregunte
[9/6/24, 10:46:48 AM] Ismael: Me corté el pelo
[9/6/24, 10:46:53 AM] Ismael: Y me tocó un barbero bien gracioso
[9/6/24, 10:46:59 AM] Ismael: Era de Veracruz
[9/6/24, 10:47:07 AM] Ismael: Y me dijo que llevaba 24 años cortando pelo
[9/6/24, 10:47:12 AM] Ismael: Y le pregunté cuántos tiene
[9/6/24, 10:47:20 AM] Ismael: Y me dijo que 35
[9/6/24, 10:47:25 AM] Ismael: Y yo le dije que parecía más joven
[9/6/24, 10:47:31 AM] Ismael: Y me dijo que la edad estaba en cada quien
[9/6/24, 10:47:45 AM] Ismael: Y que hay gente grande más infantil y gente menor más madura
[9/6/24, 10:47:56 AM] Ismael: Y me dijo que estando con la pareja sale el lado infantil
[9/6/24, 10:48:02 AM] Ismael: Y me acordé de ti
[9/6/24, 10:48:06 AM] Ismael: De tanto que me dices eso
[9/6/24, 10:48:15 AM] Ismael: Quién sabe cómo supo el barbero
[9/6/24, 10:48:20 AM] Ismael: Seguro también le dijiste
[9/6/24, 10:48:22 AM] Ismael: Metichona
[9/6/24, 10:48:25 AM] Ismael: Ya me voy
[9/6/24, 10:48:28 AM] Ismael: Bai te quiero mucho
[9/6/24, 10:48:29 AM] Ismael: Mua
[9/6/24, 10:54:15 AM] Yara: JAJAJAJA
[9/6/24, 10:54:19 AM] Yara: Como eres llorooooon
[9/6/24, 10:54:28 AM] Yara: Que bonito storytime ismaelin
[9/6/24, 10:54:51 AM] Ismael: Sip
[9/6/24, 10:54:56 AM] Ismael: Era muy platicador
[9/6/24, 10:54:59 AM] Ismael: Y reflexivo
[9/6/24, 10:55:05 AM] Ismael: Y de Veracruz
‎[9/6/24, 2:13:27 PM] Yara: ‎image omitted
[9/6/24, 2:27:07 PM] Ismael: Como lo conociste
‎[9/6/24, 2:27:11 PM] Ismael: ‎sticker omitted
[9/6/24, 2:27:23 PM] Ismael: Y que haces ahí a las 2 de la tarde
‎[9/6/24, 2:28:52 PM] Yara: ‎sticker omitted
[9/6/24, 2:29:04 PM] Yara: Yo conozco a todo mundo ismaelin
[9/6/24, 2:29:23 PM] Yara: Con la arleth
[9/6/24, 2:29:30 PM] Ismael: Mándamela normal
[9/6/24, 2:29:31 PM] Ismael: Pls
[9/6/24, 2:29:34 PM] Ismael: Se la quiero enviar
[9/6/24, 2:29:39 PM] Yara: Nembre
[9/6/24, 2:29:45 PM] Ismael: Por qué noooo
[9/6/24, 2:29:52 PM] Yara: No seas metiche
‎[9/6/24, 2:30:00 PM] Yara: ‎sticker omitted
[9/6/24, 2:30:08 PM] Ismael: de q hablas cavron
[9/6/24, 2:30:08 PM] Ismael: ya m fui de ahí
[9/6/24, 2:30:08 PM] Ismael: dónde andabas?
[9/6/24, 2:30:08 PM] Ismael: y pq no m saludaste m
[9/6/24, 2:30:08 PM] Ismael: ?*
[9/6/24, 2:30:17 PM] Ismael: Grosera
[9/6/24, 2:30:29 PM] Ismael: Me compré los audífonos estos de Apple
[9/6/24, 2:30:32 PM] Ismael: No me gustan
[9/6/24, 2:30:53 PM] Yara: Pues si
[9/6/24, 2:31:03 PM] Ismael: Envíamela !!!
[9/6/24, 2:31:03 PM] Yara: Se fue como hace media hora
[9/6/24, 2:31:07 PM] Yara: Que no te dije
[9/6/24, 2:31:29 PM] Yara: Cuales?
[9/6/24, 2:31:37 PM] Ismael: Arre pues
[9/6/24, 2:31:42 PM] Ismael: 🖕🏿
[9/6/24, 2:31:49 PM] Ismael: AirPods
[9/6/24, 2:31:56 PM] Ismael: Pro
[9/6/24, 2:31:58 PM] Ismael: Como yo
[9/6/24, 2:32:05 PM] Yara: Dile que andaba jugando con el hugo
[9/6/24, 2:32:17 PM] Ismael: Ps si ya se
[9/6/24, 2:32:22 PM] Ismael: Se van a jugar pump it up
[9/6/24, 2:32:25 PM] Yara: Como los que me robarooon
[9/6/24, 2:32:26 PM] Ismael: Están loquillos
[9/6/24, 2:32:27 PM] Yara: Chocalas
‎[9/6/24, 2:32:36 PM] Yara: ‎sticker omitted
[9/6/24, 2:32:42 PM] Ismael: 👏
[9/6/24, 2:32:46 PM] Yara: Estaba con uno del cbtis y uno rancherito
‎[9/6/24, 2:32:50 PM] Yara: ‎sticker omitted
[9/6/24, 2:33:03 PM] Ismael: El del Cbtis no lo conozco
[9/6/24, 2:33:10 PM] Yara: Quien es el otro?
[9/6/24, 2:33:18 PM] Ismael: El ranchero seguro era uno que se llama gadiel
[9/6/24, 2:33:23 PM] Ismael: De la uni
[9/6/24, 2:33:28 PM] Ismael: Jugábamos básquet
‎[9/6/24, 2:33:28 PM] Yara: ‎sticker omitted
[9/6/24, 2:33:33 PM] Ismael: Era rancheron
[9/6/24, 2:34:03 PM] Ismael: ESTE ES OFICIALMENTE MI ÚLTIMO VIERNES EN GUAMÚCHIL!!!
‎[9/6/24, 2:34:18 PM] Yara: ‎sticker omitted
[9/6/24, 2:34:39 PM] Ismael: le dijiste a los plebes que me iba a ir?
[9/6/24, 2:35:21 PM] Yara: Que plebes?
[9/6/24, 2:35:31 PM] Yara: Que ya no ibas a la prepa les dije
[9/6/24, 2:35:39 PM] Yara: Y el niño hoy estuvo enfade y enfande contigo
[9/6/24, 2:35:48 PM] Yara: Y le dije que te preguntara a ti a mi que
[9/6/24, 2:36:03 PM] Ismael: Se me había olvidado el niño
[9/6/24, 2:36:19 PM] Ismael: Pues muy bien
[9/6/24, 2:36:23 PM] Ismael: Sigues en el cine?
[9/6/24, 2:36:17 PM] Yara: Calmalo
[9/6/24, 2:36:19 PM] Yara: Me enferma
[9/6/24, 2:36:29 PM] Yara: Hasta la arleth le dijo
[9/6/24, 2:36:58 PM] Ismael: Harían buena pareja
[9/6/24, 2:36:35 PM] Yara: No
[9/6/24, 2:36:37 PM] Yara: Por quw
[9/6/24, 2:36:39 PM] Yara: E
[9/6/24, 2:47:46 PM] Yara: Contesta tik tok
[9/6/24, 2:47:49 PM] Yara: Quienes
[9/6/24, 3:15:19 PM] Ismael: Ay
[9/6/24, 3:15:25 PM] Ismael: El niño y la Arleth
[9/6/24, 4:13:19 PM] Ismael: mandame mensaje
‎[9/6/24, 4:13:52 PM] Yara: ‎sticker omitted
[9/6/24, 4:13:54 PM] Yara: Tas loco
[9/6/24, 4:13:58 PM] Yara: No quiero
[9/6/24, 4:14:15 PM] Ismael: gracias
[9/6/24, 4:14:23 PM] Ismael: que si
[9/6/24, 4:14:26 PM] Ismael: imaginatelos
[9/6/24, 4:14:35 PM] Ismael: caminando de la mano
[9/6/24, 4:14:38 PM] Ismael: mu bonito
‎[9/6/24, 4:32:17 PM] Ismael: ‎image omitted
[9/6/24, 4:40:16 PM] Yara: Dios mio
[9/6/24, 4:40:19 PM] Yara: Que dices
‎[9/6/24, 4:40:21 PM] Yara: ‎sticker omitted
[9/6/24, 4:40:24 PM] Yara: Shshshshhs
[9/6/24, 4:45:02 PM] Yara: Eso que es
[9/6/24, 4:45:15 PM] Ismael: un chiste
[9/6/24, 4:45:52 PM] Yara: Quieres salir despues del gym?
‎[9/6/24, 4:45:56 PM] Yara: ‎sticker omitted
[9/6/24, 4:46:02 PM] Yara: Quiero ir a comprar una nieve
[9/6/24, 4:46:07 PM] Ismael: a donde
[9/6/24, 4:46:09 PM] Ismael: sip
‎[9/6/24, 4:46:13 PM] Yara: ‎sticker omitted
[9/6/24, 4:46:19 PM] Ismael: noooo
[9/6/24, 4:46:19 PM] Yara: Donde las vendan digo yo
[9/6/24, 4:46:22 PM] Ismael: no puedo
[9/6/24, 4:46:22 PM] Yara: No que
[9/6/24, 4:46:26 PM] Yara: Bye
[9/6/24, 4:46:31 PM] Ismael: yaaara
[9/6/24, 4:46:38 PM] Ismael: ps si no puedo
[9/6/24, 4:46:40 PM] Ismael: o dejame ver
[9/6/24, 4:46:50 PM] Ismael: como a que hora?
[9/6/24, 4:47:53 PM] Yara: A verdad
[9/6/24, 4:48:02 PM] Yara: No es la misma
‎[9/6/24, 4:48:09 PM] Yara: ‎sticker omitted
[9/6/24, 4:48:17 PM] Yara: 5:30
[9/6/24, 4:49:49 PM] Ismael: Pues
[9/6/24, 4:49:55 PM] Ismael: Es que tengo que hacer unas cosas
[9/6/24, 4:50:09 PM] Ismael: Y están reparando mi aire
[9/6/24, 4:50:12 PM] Ismael: Y estoy pelón
[9/6/24, 4:50:22 PM] Yara: Y
[9/6/24, 4:50:34 PM] Ismael: Y no voy a alcanzar a bañarme
[9/6/24, 4:50:40 PM] Yara: ????
[9/6/24, 4:50:46 PM] Yara: .
‎[9/6/24, 4:50:50 PM] Yara: ‎sticker omitted
[9/6/24, 4:50:55 PM] Ismael: Ahí te aviso
[9/6/24, 4:51:00 PM] Yara: Que
[9/6/24, 4:51:03 PM] Yara: O es si o no
[9/6/24, 4:51:18 PM] Yara: Si no para no apurarme
[9/6/24, 4:51:20 PM] Ismael: Yaraaaaa
[9/6/24, 4:51:24 PM] Ismael: Estoy muy pelooon
[9/6/24, 4:51:27 PM] Yara: Que
[9/6/24, 4:51:28 PM] Yara: Y
[9/6/24, 4:51:45 PM] Ismael: No me gusta ser pelón
[9/6/24, 4:51:50 PM] Yara: Que te preocupa
[9/6/24, 4:52:06 PM] Ismael: Que se rían de mí calva
[9/6/24, 4:53:11 PM] Ismael: Bueno pues
[9/6/24, 4:53:15 PM] Ismael: Lo más seguro que si
[9/6/24, 4:53:21 PM] Ismael: Y nada más por la nieve?
[9/6/24, 4:53:24 PM] Yara: JAJAJAJA
[9/6/24, 4:53:33 PM] Yara: Pues no se
[9/6/24, 4:53:35 PM] Yara: Como sea
[9/6/24, 4:53:46 PM] Ismael: Cuál como sea
[9/6/24, 4:53:52 PM] Ismael: Y no te vas a reír de que estoy pelón?
[9/6/24, 4:54:16 PM] Ismael: yo quiero coco
[9/6/24, 4:54:25 PM] Yara: Cocoooooo
[9/6/24, 4:54:27 PM] Yara: Wakala
[9/6/24, 4:54:28 PM] Yara: Chi
[9/6/24, 4:54:30 PM] Yara: Muchote
[9/6/24, 4:54:38 PM] Ismael: Entonces no
[9/6/24, 4:54:49 PM] Ismael: No quieres ni mi calva ni mi coco
[9/6/24, 4:54:50 PM] Ismael: Bai
[9/6/24, 4:55:33 PM] Ismael: Mira
‎[9/6/24, 4:55:39 PM] Ismael: ‎image omitted
[9/6/24, 4:55:45 PM] Ismael: Mi aire estaba llorando
[9/6/24, 4:56:31 PM] Yara: Si oye
[9/6/24, 4:56:33 PM] Yara: Era bromimi
[9/6/24, 4:56:37 PM] Yara: Que bueno
[9/6/24, 4:56:44 PM] Yara: Ya ni lo vas a ocupar
[9/6/24, 5:00:05 PM] Ismael: Ok
‎[9/6/24, 5:00:09 PM] Ismael: ‎sticker omitted
[9/6/24, 5:00:34 PM] Yara: 5:30 no
[9/6/24, 5:00:38 PM] Yara: 6 y algo
‎[9/6/24, 5:00:40 PM] Yara: ‎sticker omitted
[9/6/24, 5:00:47 PM] Yara: No llevo ni tres ejercicios
[9/6/24, 5:01:04 PM] Ismael: Está bien
[9/6/24, 5:03:35 PM] Yara: No ibas al gym?
[9/6/24, 5:04:08 PM] Ismael: en la mañana
[9/6/24, 5:04:12 PM] Ismael: hoy no fui
‎[9/6/24, 5:13:05 PM] Yara: ‎sticker omitted
[9/6/24, 5:49:04 PM] Ismael: ya voy?
[9/6/24, 5:50:38 PM] Yara: No
[9/6/24, 6:16:36 PM] Ismael: Ya?
[9/6/24, 6:17:25 PM] Yara: Si
‎[9/6/24, 6:17:28 PM] Yara: ‎sticker omitted
‎[9/6/24, 6:17:46 PM] Ismael: ‎sticker omitted
[9/6/24, 6:17:49 PM] Ismael: Voy a tardar
[9/6/24, 6:18:18 PM] Yara: Como que vas a tardar
[9/6/24, 6:21:52 PM] Ismael: Espérame tantito
[9/6/24, 6:22:01 PM] Ismael: Me estoy peleando con un señor
[9/6/24, 6:22:23 PM] Yara: No
[9/6/24, 6:24:43 PM] Yara: Yaaa??
[9/6/24, 6:24:48 PM] Ismael: Cuál no
[9/6/24, 6:25:03 PM] Yara: Ya me voy
[9/6/24, 6:25:05 PM] Ismael: Ahí voy
‎[9/6/24, 6:25:06 PM] Yara: ‎sticker omitted
[9/6/24, 6:25:07 PM] Ismael: Yaaara
[9/6/24, 6:25:17 PM] Yara: Ashushushushu
[9/6/24, 9:33:34 PM] Ismael: Ok
[9/6/24, 10:47:33 PM] Ismael: Te amo mucho
‎[9/6/24, 10:48:32 PM] Ismael: ‎sticker omitted
[9/6/24, 11:04:05 PM] Ismael: Mua
[9/7/24, 3:02:49 AM] Yara: Esta bien isma
[9/7/24, 9:02:50 AM] Ismael: No
[9/7/24, 9:02:56 AM] Ismael: Cuál está bien
[9/7/24, 9:03:15 AM] Ismael: Vamos a seguir siendo
‎[9/7/24, 9:03:19 AM] Ismael: ‎sticker omitted
[9/7/24, 9:59:05 AM] Yara: Siendo que
‎[9/7/24, 9:59:08 AM] Yara: ‎sticker omitted
[9/7/24, 10:00:04 AM] Ismael: ay
[9/7/24, 10:00:10 AM] Ismael: queria poner saliendo
‎[9/7/24, 10:01:18 AM] Yara: ‎sticker omitted
[9/7/24, 10:01:26 AM] Yara: Tú dijiste que no
[9/7/24, 10:01:37 AM] Ismael: cuandooo
[9/7/24, 10:01:52 AM] Yara: .
[9/7/24, 10:01:58 AM] Yara: .
[9/7/24, 10:02:03 AM] Ismael: no se
[9/7/24, 10:02:06 AM] Yara: Desde que lo dudaste
[9/7/24, 10:02:06 AM] Ismael: era de noche
[9/7/24, 10:02:10 AM] Yara: Para mí es no
[9/7/24, 10:02:15 AM] Ismael: no
[9/7/24, 10:02:24 AM] Ismael: eso que
‎[9/7/24, 10:12:36 AM] Yara: ‎sticker omitted
[9/7/24, 10:12:43 AM] Yara: Duérmete un rato
[9/7/24, 10:13:12 AM] Ismael: no quiero
[9/7/24, 10:15:22 AM] Yara: Oki
[9/7/24, 2:09:47 PM] Ismael: Tú y yo somos como after party
[9/7/24, 2:09:59 PM] Ismael: De bojack horseman
[9/7/24, 2:10:04 PM] Ismael: Temporada 2
[9/7/24, 2:10:07 PM] Ismael: Episodio 4
[9/7/24, 2:10:18 PM] Ismael: ‎You deleted this message.
‎[9/7/24, 2:10:37 PM] Ismael: ‎sticker omitted
[9/7/24, 2:11:02 PM] Ismael: Minuto 17:51
[9/7/24, 2:35:18 PM] Yara: Igualito al perro
‎[9/7/24, 2:35:27 PM] Yara: ‎sticker omitted
‎[9/7/24, 2:37:05 PM] Ismael: ‎sticker omitted
[9/7/24, 2:37:11 PM] Ismael: Muy buen personaje secundario
‎[9/7/24, 2:37:44 PM] Yara: ‎sticker omitted
[9/7/24, 2:43:00 PM] Ismael: Ok
[9/7/24, 2:43:11 PM] Ismael: Mi mamá te invito a los chinos
‎[9/7/24, 2:44:53 PM] Yara: ‎sticker omitted
[9/7/24, 2:45:18 PM] Yara: Me vas a secuestrar
[9/7/24, 2:45:36 PM] Ismael: No
‎[9/7/24, 2:45:39 PM] Ismael: ‎sticker omitted
[9/7/24, 2:45:46 PM] Ismael: Ojalá
[9/7/24, 3:56:54 PM] Ismael: Termine Pedro Páramo
[9/7/24, 3:56:57 PM] Ismael: No me gustó
[9/7/24, 3:57:04 PM] Ismael: Para nada
[9/7/24, 3:57:07 PM] Ismael: Lo seguiste leyendo?
[9/7/24, 4:57:46 PM] Ismael: Adiós
‎[9/7/24, 4:58:29 PM] Yara: ‎sticker omitted
[9/7/24, 4:58:40 PM] Ismael: callate
[9/7/24, 4:58:43 PM] Ismael: como eres grosera
‎[9/7/24, 4:58:46 PM] Yara: ‎image omitted
[9/7/24, 4:58:49 PM] Ismael: uno que te habla bien
[9/7/24, 4:59:05 PM] Yara: No lo he terminado
[9/7/24, 4:59:13 PM] Yara: A mi si me va gustando que hablas tu
[9/7/24, 4:59:21 PM] Yara: Ok
